_id,text,created_at
674f2f5d5e8c5f1843d997ad,"RT @aoonsafdar: Marienplatz Christmas Market in Munich ❤️🎄😊

#Munich #marienplatz #München #marienplatzmünchen #munichblogger #Germany #chr…",
674f2f5e5e8c5f1843d997ae,"RT @gamdom: Cup fever in Italy &amp; Germany! 🔥

Two German giants go head-to-head in the DFB-Pokal, the must-watch match of the day. Over in I…",
674f2f5e5e8c5f1843d997af,"RT @AXChristoforou: South Korean President Yoon declared emergency martial law, accusing the opposition of controlling parliament, sympathi…",
674f2f5e5e8c5f1843d997b0,"RT @MarkelGerald: Ein deutscher Parlamentsabgeordneter geht nach Georgien um an der Organisation eines Putsches teilzunehmen.
Und läuft imm…",
674f2f5f5e8c5f1843d997b1,"RT @YinZP365: From a European perspective, especially Germany and France, the two founding countries of the euro, must reject Russian inter…",
674f2f5f5e8c5f1843d997b2,"The United States, Germany, Hungary, Slovakia, Belgium, Slovenia, and Spain are against inviting Ukraine to NATO🏳️‍🌈, Le Monde newspaper reports.

For: France and Britain (but clearly knowing that other nations oppose this).

#Ukraine #Russia https://t.co/fjM1P5zCGq",
674f2f5f5e8c5f1843d997b3,"RT @BarrettYouTube: Germany's Annalena Baerbock has to be one of the dumbest politicians today. She travels to China, and continues to lect…",
674f2f5f5e8c5f1843d997b4,"RT @AXChristoforou: South Korean President Yoon declared emergency martial law, accusing the opposition of controlling parliament, sympathi…",
674f2f5f5e8c5f1843d997b5,"RT @JohnyBravo183: &gt; scored hat-trick in final
&gt; thrashed Germany in Germany
&gt; won 3rd Gold medal in Olympics 
&gt; shocked Hitler &amp; 40000 Ger…",
674f2f5f5e8c5f1843d997b6,RT @anders_aslund: Ukraine's absolute condition for any ceasefire is - and must be - a firm promise of NATO membership as West Germany rece…,
674f2f5f5e8c5f1843d997b7,RT @Jason_R_Burt: 🚨New: The remains of USAAF  Tech. Sgt. Sanford Roy of the 732nd Bombardment Squadron were ID’d 80 years after his plane w…,
674f2f605e8c5f1843d997b8,"RT @RadioGenoa: The native German does not want women with hijab and burka in Germany: ""We don't want your shitty culture and religion in G…",
674f2f605e8c5f1843d997b9,"RT @OfficialJosephZ: XRP PROPHECIES, CANADA’S PRIME MINISTER, GERMANY, BILL GATES, SHOCKING GLOBAL CHANGE &amp; JUDGEMENT!! https://t.co/9sAfdD…",
674f2f605e8c5f1843d997ba,"RT @RadioGenoa: ""Don't bother me, I have to pray to Allah!"" A Muslim in Germany blocks highway to pray to Allah. Does this seem normal to y…",
674f2f605e8c5f1843d997bb,"@RadioGenoa Thanks RadioGenoa certainly Germany must drop all charges against Germans  who hit them on the highways!
Deport as many as Germans get upset with blood on their cars !",
